Latitude,Longitude,Elevation,Slope Angle
-26.796421,27.830046,1483.0,0.014276801232600167
-26.795853,27.829741,1484.0,-0.01738451344269157
-26.79494,27.829196,1482.0,-0.00988492120100375
-26.793333,27.82824,1480.0,0.0
-26.792516,27.827752,1480.0,-0.01468093668143244
-26.789822,27.82612,1475.0,0.006171577434392469
-26.78854,27.825344,1476.0,-0.023863330828130015
-26.787874,27.824949,1474.0,0.0
-26.787578,27.824771,1474.0,0.03746572530131299
-26.787362,27.824654,1475.0,0.0
-26.787195,27.824562,1475.0,0.0
-26.78699,27.824465,1475.0,0.0
-26.786834,27.824408,1475.0,0.0
-26.786662,27.824351,1475.0,0.0
-26.786494,27.824303,1475.0,0.0
-26.786333,27.824252,1475.0,0.0
-26.786049,27.824186,1475.0,0.0806571406884228
-26.78572,27.824123,1478.0,0.0
-26.785497,27.824084,1478.0,0.0
-26.785268,27.824037,1478.0,0.0
-26.785034,27.824007,1478.0,-0.17746204456876782
-26.784834,27.82399,1474.0,0.0
-26.784694,27.823982,1474.0,0.0
-26.784584,27.823977,1474.0,0.0
-26.784378,27.823978,1474.0,0.0
-26.784183,27.823993,1474.0,-0.053501300697130966
-26.783848,27.82402,1472.0,0.0
-26.783556,27.824028,1472.0,-0.029353061787708194
-26.78325,27.824043,1471.0,0.007089890020338904
-26.781984,27.824131,1472.0,-0.01542130739127709
-26.78082,27.824212,1470.0,-0.00448819344246268
-26.77882,27.824349,1469.0,-0.006008576208712873
-26.777327,27.824467,1468.0,0.0
-26.776917,27.82448,1468.0,-0.01815629739117484
-26.775435,27.824599,1465.0,0.011534005786292335
-26.773878,27.824695,1467.0,-0.01918321945378569
-26.772474,27.824784,1464.0,-0.013663284254124391
-26.770504,27.824933,1461.0,-0.004248896595110617
-26.768392,27.825089,1460.0,-0.04763411601671462
-26.767827,27.825126,1457.0,0.0165604885653836
-26.767284,27.825128,1458.0,0.0
-26.766745,27.82512,1458.0,-0.05577910295470017
-26.766423,27.82511,1456.0,0.0
-26.76596,27.825082,1456.0,-0.02560055228355474
-26.76491,27.824984,1453.0,0.004150022488967887
-26.762746,27.824856,1454.0,-0.008749693089925951
-26.761721,27.824771,1453.0,-0.008703503230795152
-26.760688,27.824745,1452.0,0.0
-26.760487,27.824739,1452.0,0.0
-26.7601,27.824743,1452.0,-0.053607230044599184
-26.759765,27.824756,1450.0,0.0
-26.759448,27.82477,1450.0,-0.021808146053592565
-26.759036,27.824788,1449.0,0.0
-26.758671,27.824814,1449.0,0.0
-26.758403,27.824842,1449.0,0.0
-26.757879,27.8249,1449.0,-0.03449561005133259
-26.757362,27.824974,1447.0,-0.03337320892796488
-26.755494,27.825262,1440.0,-0.030791198351398326
-26.754051,27.82551,1435.0,-0.03790339053369567
-26.751239,27.826,1423.0,0.03958399861419127
-26.749438,27.826266,1431.0,0.07974987058450851
-26.748878,27.826327,1436.0,0.0
-26.748386,27.826405,1436.0,0.0
-26.748094,27.826424,1436.0,0.0
-26.74772,27.826426,1436.0,0.049443082246261635
-26.747357,27.826405,1438.0,0.0
-26.747081,27.826369,1438.0,0.0
-26.746888,27.82634,1438.0,0.0
-26.746566,27.826251,1438.0,0.0
-26.746323,27.82618,1438.0,0.0
-26.746073,27.826095,1438.0,0.06710514737714189
-26.745822,27.825991,1440.0,0.013900400444633759
-26.745228,27.825704,1441.0,0.061715436158439184
-26.744685,27.825469,1445.0,0.0400101565660778
-26.743029,27.824687,1453.0,0.0
-26.742608,27.824491,1453.0,0.039636730718116485
-26.740937,27.8237,1461.0,0.010019342306151247
-26.740099,27.82334,1462.0,0.12393324555711657
-26.739692,27.823174,1468.0,0.0
-26.739295,27.823038,1468.0,0.04530363877603122
-26.738913,27.822918,1470.0,0.0
-26.738549,27.822824,1470.0,0.03860568900195664
-26.738095,27.822708,1472.0,-0.01074826642639482
-26.73727,27.822552,1471.0,0.028427482063923284
-26.736336,27.822365,1474.0,0.0075139854023445135
-26.73516,27.822116,1475.0,0.01580818680515893
-26.734041,27.821886,1477.0,0.0
-26.73345,27.821762,1477.0,0.05277825359431857
-26.733283,27.821725,1478.0,0.0
-26.733148,27.821697,1478.0,0.0
-26.73305,27.821673,1478.0,-0.18085804974894445
-26.733002,27.821661,1477.0,0.0
-26.732907,27.821639,1477.0,0.0
-26.732729,27.8216,1477.0,-0.008051762424771522
-26.73163,27.821377,1476.0,0.010501879922861617
-26.730786,27.821215,1477.0,0.02681731691321384
-26.729798,27.821004,1480.0,-0.021461055777956255
-26.728972,27.820846,1478.0,0.013955450206495227
-26.727706,27.820576,1480.0,0.01836824525761657
-26.726743,27.820378,1482.0,0.007295249208074182
-26.724318,27.81988,1484.0,0.017127429883768433
